gene	expression
ZNF8	1.67
C2orf27A	1.66
CDKL1	1.66
EFNA3	1.66
FAM86C2P	1.66
NQO2	1.66
SLC22A18	1.66
THAP8	1.66
TNFRSF18	1.66
ZNF180	1.66
ZNF430	1.66
ZNF564	1.66
AP4E1	1.65
C10orf88	1.65
GALM	1.65
HBE1	1.65
HIST4H4	1.65
MAMDC4	1.65
NPM2	1.65
OSGEPL1	1.65
PLA2G16	1.65
PMS2P5	1.65
RBP5	1.65
SLC45A4	1.65
TMEM183A	1.65
TMTC2	1.65
ZNF319	1.65
CA9	1.64
CDK14	1.64
COL5A1	1.64
DSC2	1.64
FAM173B	1.64
FIZ1	1.64
GPRIN1	1.64
LATS2	1.64
MKL2	1.64
MYL9	1.64
NDFIP1	1.64
RALGPS2	1.64
RARG	1.64
ROCK1P1	1.64
SHF	1.64
ZBP1	1.64
ZNF611	1.64
CBLN3	1.63
DNAJC16	1.63
DNAJC24	1.63
FBXL18	1.63
FRRS1	1.63
IL28RA	1.63
KPTN	1.63
LOC90784	1.63
LTB4R	1.63
MOXD1	1.63
TOM1L2	1.63
YJEFN3	1.63
ZFP30	1.63
ZNF414	1.63
ZNF71	1.63
ZNF799	1.63
C5orf51	1.62
ERCC4	1.62
GPAM	1.62
HIGD2B	1.62
IRAK2	1.62
MAN2A1	1.62
SFXN2	1.62
AHCYL2	1.61
AP4S1	1.61
C10orf32	1.61
C8orf58	1.61
FOSL1	1.61
ICA1L	1.61
SCAND2	1.61
SRGAP2	1.61
ZNF468	1.61
FRA10AC1	1.6
LIPT2	1.6
LOC729020	1.6
SLC35F5	1.6
TBC1D3P1-DHX40P1	1.6
WWTR1	1.6
ZNF485	1.6
ZNF562	1.6
ZNF785	1.6
ZNRF1	1.6
ASTE1	1.59
CAMKMT	1.59
CCT6B	1.59
DHRS11	1.59
FBXW4P1	1.59
GMPR	1.59
GUSBP3	1.59
HSD17B1	1.59
LNX2	1.59
MSRB2	1.59
ZNF345	1.59
C16orf95	1.58
C1orf124	1.58
CNOT6L	1.58
FMNL2	1.58
GLS2	1.58
LOC641746	1.58
MIR497HG	1.58
NAT14	1.58
PLEKHG1	1.58
RGMB	1.58
SLC2A8	1.58
TMEM237	1.58
UBE2F	1.58
USP49	1.58
WDR25	1.58
ZNF253	1.58
CACNB4	1.57
ECHDC2	1.57
FCGR2A	1.57
HIC2	1.57
ITGA3	1.57
MOSPD3	1.57
PRAME	1.57
RG9MTD2	1.57
RTN4IP1	1.57
SPA17	1.57
UGGT2	1.57
BFSP2	1.56
EPOR	1.56
MDK	1.56
SNAI3	1.56
SNHG9	1.56
TYW5	1.56
ZNF324B	1.56
ZNF404	1.56
C10orf116	1.55
CYB5RL	1.55
DHRS3	1.55
PDK2	1.55
PTRH1	1.55
ZIK1	1.55
ZNF34	1.55
C1orf192	1.54
CCR6	1.54
EXOC6B	1.54
ICAM4	1.54
LOC100130093	1.54
LOC100131067	1.54
LOC100288432	1.54
LOC648809	1.54
NSL1	1.54
OTUD1	1.54
PSEN2	1.54
RUNX1	1.54
SIX5	1.54
STX1B	1.54
ZBTB10	1.54
ZNF416	1.54
ACY3	1.53
CCNYL1	1.53
CDK3	1.53
HACE1	1.53
HIST1H3D	1.53
IL15	1.53
LOC642361	1.53
RGPD4	1.53
SLC39A10	1.53
SYNM	1.53
ZNF844	1.53
APOLD1	1.52
C2CD3	1.52
FAM86C1	1.52
LLGL2	1.52
LOC100507495	1.52
NR6A1	1.52
TMEM181	1.52
AGAP8	1.51
HIST1H2BB	1.51
KIAA0513	1.51
LIN7A	1.51
LOC90834	1.51
LY75-CD302	1.51
MACC1	1.51
P2RX1	1.51
PDE1B	1.51
PRSS16	1.51
RABIF	1.51
THAP6	1.51
ZNF792	1.51
COQ10A	1.5
GPR153	1.5
LOC728758	1.5
NRARP	1.5
OIP5	1.5
ORC4	1.5
SLC24A6	1.5
SPRED2	1.5
ZNF25	1.5
ZNF597	1.5
CCDC136	1.49
FKBP1AP1	1.49
HLA-J	1.49
IL2RA	1.49
PTPRO	1.49
RAB11FIP2	1.49
TIGD5	1.49
TMEM104	1.49
TMEM216	1.49
ZNF786	1.49
ACTR3B	1.48
ATXN7L2	1.48
CA11	1.48
DHRS4L1	1.48
DTNB	1.48
HSPG2	1.48
LOC284276	1.48
LOC729013	1.48
MIR181A2HG	1.48
NME7	1.48
POLR3B	1.48
POU2F1	1.48
PROCA1	1.48
SEMA6A	1.48
SFR1	1.48
SNTA1	1.48
TTBK2	1.48
ZNF780B	1.48
ALG9	1.47
C20orf112	1.47
DCAF10	1.47
DPEP2	1.47
FANCC	1.47
GATSL3	1.47
MGC21881	1.47
NANP	1.47
NEDD4	1.47
POLR2J4	1.47
PRL	1.47
RAB3D	1.47
RFT1	1.47
TRAF6	1.47
ZNF16	1.47
C14orf126	1.46
C9orf3	1.46
FAM86DP	1.46
FAR2	1.46
GGT1	1.46
HERC3	1.46
LAG3	1.46
LRRC37A3	1.46
NR1D1	1.46
SLC15A2	1.46
TUBB3	1.46
UST	1.46
ANK1	1.45
BPHL	1.45
C2orf15	1.45
CCDC163P	1.45
CD33	1.45
IDUA	1.45
KCTD17	1.45
PIN1P1	1.45
PTBP2	1.45
SV2A	1.45
XRRA1	1.45
BCAR3	1.44
C12orf5	1.44
C9orf9	1.44
DUSP1	1.44
ERC1	1.44
IQCG	1.44
LOC100133161	1.44
PIK3CG	1.44
SERINC5	1.44
TBC1D3C	1.44
TWF1	1.44
ARVCF	1.43
BCDIN3D	1.43
C10orf57	1.43
CAPN12	1.43
CCDC121	1.43
CD1C	1.43
DLG4	1.43
ERI2	1.43
FAM35B2	1.43
FJX1	1.43
LOC100132273	1.43
PRSS30P	1.43
PTPN4	1.43
RWDD4	1.43
YPEL2	1.43
ZNF717	1.43
CAMKK1	1.42
EMR2	1.42
FLT3LG	1.42
LOC100129518	1.42
MAGOHB	1.42
PCGF6	1.42
PLXNB1	1.42
SAP30L	1.42
STK33	1.42
TNFSF13B	1.42
ZNF594	1.42
ARHGEF5	1.41
CLDN12	1.41
GTF2IRD2P1	1.41
KATNAL1	1.41
RRN3P2	1.41
RUFY2	1.41
SMAD5	1.41
TMEM64	1.41
TMEM99	1.41
APH1B	1.4
BBS9	1.4
CAV2	1.4
CENPP	1.4
CHAD	1.4
CRIM1	1.4
FPGT	1.4
HECA	1.4
HHAT	1.4
L3MBTL1	1.4
LRP6	1.4
PRICKLE4	1.4
RRN3P3	1.4
TEF	1.4
USP46	1.4
ZNF440	1.4
ACYP2	1.39
BLOC1S1-RDH5	1.39
FAM72B	1.39
GALC	1.39
GDAP1	1.39
HIP1	1.39
HSPA2	1.39
MIER3	1.39
PLCD1	1.39
POU5F1	1.39
RIC8B	1.39
SLC36A4	1.39
TPCN2	1.39
ZFP41	1.39
C19orf55	1.38
DDX58	1.38
FRAT2	1.38
IL1A	1.38
LOC100507032	1.38
LOC389765	1.38
NUDT13	1.38
RDM1	1.38
SLC4A5	1.38
STYX	1.38
TMEM218	1.38
ZNF225	1.38
ZNF628	1.38
DFNB59	1.37
GUCY1B3	1.37
HSD17B14	1.37
KIFC2	1.37
LACE1	1.37
LOC100289656	1.37
PIGW	1.37
UACA	1.37
USP35	1.37
USP54	1.37
ZCCHC4	1.37
AGAP7	1.36
LOC100132356	1.36
LOC100288123	1.36
MFSD8	1.36
PCBD2	1.36
TNNI2	1.36
ZNF519	1.36
ZNF747	1.36
CAB39L	1.35
CLYBL	1.35
DBT	1.35
GPR89B	1.35
HERC6	1.35
KIAA1908	1.35
KRT8	1.35
LAMTOR3	1.35
LOC100506746	1.35
LOC731275	1.35
MYO6	1.35
TMED10P1	1.35
TNFSF4	1.35
TRAF3IP2-AS1	1.35
ADCK5	1.34
ARHGEF17	1.34
ARL4C	1.34
ATP8B5P	1.34
C17orf100	1.34
C20orf94	1.34
CBY3	1.34
EBLN2	1.34
FAM110B	1.34
LCLAT1	1.34
MTMR6	1.34
NPR2	1.34
SCD5	1.34
SLC30A7	1.34
SOX18	1.34
SPRY2	1.34
TSPAN4	1.34
ZBTB39	1.34
ZNF484	1.34
AMY1A	1.33
CHPT1	1.33
EID2B	1.33
GOLGA6L10	1.33
GPR18	1.33
HCG11	1.33
HIST1H2AK	1.33
ITGAM	1.33
LHX2	1.33
LOC100506123	1.33
LRRC34	1.33
LRRC8C	1.33
MS4A7	1.33
PIGN	1.33
PKIA	1.33
ZNF420	1.33
AAK1	1.32
C5orf42	1.32
EPDR1	1.32
FOXO3B	1.32
HOXB4	1.32
ID2B	1.32
LOC100505624	1.32
LRG1	1.32
PDE6G	1.32
PGAP3	1.32
PHOSPHO2	1.32
SLC16A10	1.32
SLC27A4	1.32
ZNF782	1.32
A2LD1	1.31
CACNB1	1.31
LRFN3	1.31
LTB4R2	1.31
MCOLN1	1.31
MRC2	1.31
NUDT12	1.31
OGDHL	1.31
PCDHGA10	1.31
ST3GAL4	1.31
SUPT3H	1.31
TUBE1	1.31
ZNF813	1.31
ZYG11B	1.31
ANKRD13C	1.3
ANKRD24	1.3
ASPH	1.3
C11orf65	1.3
CPPED1	1.3
CRY1	1.3
FAM185A	1.3
FANCM	1.3
FBXO43	1.3
FNIP2	1.3
GPR180	1.3
LOC100132077	1.3
LOC541473	1.3
LOC728640	1.3
POU5F1P4	1.3
RAD51B	1.3
SLC9A7P1	1.3
TPBG	1.3
WDR19	1.3
ZNF165	1.3
ZNF260	1.3
ZNF605	1.3
ZSCAN20	1.3
C1orf106	1.29
DUSP28	1.29
GAL3ST4	1.29
GLMN	1.29
LOC113230	1.29
LOC554206	1.29
METRN	1.29
MTBP	1.29
NAAA	1.29
ZNF431	1.29
ZSCAN5A	1.29
ANKRD5	1.28
BMI1	1.28
CBR3	1.28
CR1	1.28
EFCAB7	1.28
HIATL2	1.28
HIST1H2AL	1.28
LOC728730	1.28
MACROD1	1.28
NECAB3	1.28
OXCT2	1.28
PLEKHA1	1.28
PSPN	1.28
SPDYE2L	1.28
VMAC	1.28
FKRP	1.27
GBP5	1.27
PRORSD1P	1.27
SMA5	1.27
ZNF565	1.27
ABTB2	1.26
AKAP6	1.26
ARHGEF11	1.26
C14orf101	1.26
CCDC146	1.26
CLLU1OS	1.26
FLJ35390	1.26
HIST2H2BC	1.26
IMMP1L	1.26
ITPRIPL2	1.26
LMF1	1.26
NRN1L	1.26
NUDT4	1.26
PIGK	1.26
PKDCC	1.26
ZC3H6	1.26
ZNF629	1.26
CDC42EP4	1.25
DEPDC1	1.25
F2R	1.25
GNA11	1.25
HIST1H2AB	1.25
LILRB4	1.25
NAA38	1.25
OVGP1	1.25
RGS9	1.25
SLC7A11	1.25
ZFP82	1.25
BSCL2	1.24
C17orf96	1.24
CACNB3	1.24
DOK4	1.24
ENTPD2	1.24
ENTPD5	1.24
FAM131A	1.24
FAM46C	1.24
LOC728613	1.24
NRG2	1.24
SLC20A2	1.24
SLC27A1	1.24
TIGD6	1.24
ZNF641	1.24
ZNF837	1.24
ARL6	1.23
C3orf62	1.23
CLOCK	1.23
COX18	1.23
CYP2D7P1	1.23
DZIP1	1.23
FAM18A	1.23
LIPE	1.23
LOC155060	1.23
PANK1	1.23
SLC35D1	1.23
SNORA53	1.23
TBC1D3G	1.23
BEND3	1.22
CNPY4	1.22
GAS2	1.22
HARBI1	1.22
LACC1	1.22
LOC285033	1.22
MORC2-AS1	1.22
T	1.22
ZNF334	1.22
C15orf63	1.21
C5orf63	1.21
CRIPT	1.21
F13A1	1.21
GBP4	1.21
GKAP1	1.21
GTPBP10	1.21
HEY1	1.21
HHEX	1.21
IRAK3	1.21
KIF24	1.21
MAPRE3	1.21
NUDT17	1.21
SLC16A5	1.21
SLC25A24	1.21
SLC9A9	1.21
SPSB2	1.21
ZNF391	1.21
ZNF549	1.21
ATP4A	1.2
C11orf80	1.2
CERKL	1.2
EPHX1	1.2
FAM116A	1.2
FAM126B	1.2
IGSF3	1.2
LIMS3	1.2
LOC100131691	1.2
LOC653712	1.2
MGC45922	1.2
NOTCH2	1.2
P2RY1	1.2
PAPOLG	1.2
PHOSPHO1	1.2
PTPDC1	1.2
SLC38A7	1.2
ST7-AS2	1.2
TRIM62	1.2
TXLNB	1.2
ZNF625	1.2
FBF1	1.19
FLJ37453	1.19
FLJ45445	1.19
FOSL2	1.19
HIST1H4E	1.19
ILDR2	1.19
INTS4L2	1.19
KRBA1	1.19
PLEKHA4	1.19
SAMD12	1.19
UBOX5	1.19
WDPCP	1.19
YPEL4	1.19
ANKDD1A	1.18
BBS7	1.18
CCDC142	1.18
DMKN	1.18
FAM114A1	1.18
GHRLOS	1.18
HCAR3	1.18
LGALS3BP	1.18
LOC100499466	1.18
LRP2BP	1.18
MCM3AP-AS1	1.18
MEI1	1.18
NBPF1	1.18
SLFN5	1.18
SPR	1.18
TAF1A	1.18
TRIM3	1.18
TUBD1	1.18
VASH1	1.18
ADAT3	1.17
C6orf226	1.17
CASD1	1.17
CCDC110	1.17
ITGAE	1.17
JPH4	1.17
KIAA2018	1.17
LOC729970	1.17
MYBPC2	1.17
RALGAPA1	1.17
RNF32	1.17
SLC43A2	1.17
THEM4	1.17
ZBTB12	1.17
ZNF433	1.17
CDYL2	1.16
CTNS	1.16
EP400NL	1.16
HIST1H2AJ	1.16
LOC100286979	1.16
LOC100630918	1.16
MEGF9	1.16
METTL21B	1.16
SYNGR1	1.16
ZNF323	1.16
ACTR3C	1.15
ALG10	1.15
ALS2CR8	1.15
BTD	1.15
C1orf56	1.15
CBX8	1.15
CIB2	1.15
EBF1	1.15
GPR98	1.15
HNF1B	1.15
LLGL1	1.15
LOC100132215	1.15
OR2A9P	1.15
PCSK4	1.15
PTK7	1.15
RPS2P32	1.15
RRN3P1	1.15
SLC7A5P2	1.15
ZNF235	1.15
CD3EAP	1.14
FAM117B	1.14
KRBA2	1.14
LMCD1	1.14
LOC100132724	1.14
LOC100289019	1.14
METTL21A	1.14
NR1H3	1.14
PC	1.14
PDLIM2	1.14
PPP1R12B	1.14
SGK494	1.14
SHISA3	1.14
TSSK6	1.14
ZSWIM7	1.14
AMY2B	1.13
ANG	1.13
C1orf228	1.13
EME2	1.13
FRS2	1.13
HIST1H2BG	1.13
LOC100289361	1.13
LOC283624	1.13
MEIG1	1.13
RPL23AP53	1.13
TNFRSF6B	1.13
ZNF329	1.13
C22orf34	1.12
C8orf44	1.12
CXXC4	1.12
GLI4	1.12
LAPTM4B	1.12
LOC100133091	1.12
LOC100505622	1.12
LOC728377	1.12
RAD1	1.12
SLC9A5	1.12
SOCS6	1.12
ZNF287	1.12
ADHFE1	1.11
AMICA1	1.11
CCDC15	1.11
CD276	1.11
CTSF	1.11
ESR2	1.11
FLJ39051	1.11
GALNT4	1.11
GATSL1	1.11
HIST1H2BN	1.11
LOC100131655	1.11
LOC100506776	1.11
LOC728066	1.11
MYO15B	1.11
PIGM	1.11
RAPGEF5	1.11
RFPL3-AS1	1.11
SERPINF1	1.11
TBC1D24	1.11
ZNF652	1.11
ZNF836	1.11
ALG6	1.1
COLEC11	1.1
DOCK9	1.1
FECH	1.1
HIST3H2BB	1.1
LOC63930	1.1
OSTM1	1.1
PGF	1.1
PRR19	1.1
SERPINB6	1.1
ZNF699	1.1
ADPRHL1	1.09
C5orf34	1.09
CASP10	1.09
CCDC144C	1.09
CYB561	1.09
CYP2R1	1.09
DCUN1D5	1.09
FGFR1	1.09
HIST2H2BA	1.09
ITSN1	1.09
KHDC1	1.09
PMCH	1.09
WHAMMP3	1.09
ZFYVE16	1.09
ZNF230	1.09
ZNF530	1.09
C11orf82	1.08
CD3E	1.08
CORO2A	1.08
HOXB3	1.08
IL18	1.08
LOC100130872	1.08
LOC100505715	1.08
LYSMD4	1.08
METTL12	1.08
NADKD1	1.08
TM6SF1	1.08
TMEM67	1.08
TPM1	1.08
ZNF154	1.08
ZNF286A	1.08
ZNF382	1.08
AGMAT	1.07
C17orf61-PLSCR3	1.07
KCNK5	1.07
KLHDC9	1.07
LOC729513	1.07
LYST	1.07
N6AMT1	1.07
PTH2	1.07
RPSAP52	1.07
SEMA4F	1.07
SFXN3	1.07
SLC29A2	1.07
TPRG1	1.07
ARHGEF35	1.06
C7orf31	1.06
CABYR	1.06
CLVS1	1.06
HCG27	1.06
INCA1	1.06
KLF9	1.06
LARP6	1.06
LOC100505783	1.06
PNMAL1	1.06
RASGEF1A	1.06
RND1	1.06
SYNJ1	1.06
TAF1B	1.06
ZNF252	1.06
ZNF579	1.06
ZNF642	1.06
ZNF708	1.06
ZSCAN22	1.06
C8orf82	1.05
GIMAP1	1.05
GNB3	1.05
LOC100499489	1.05
LOC339803	1.05
PHYH	1.05
RAB3IP	1.05
RAB43	1.05
TSGA10	1.05
WASL	1.05
ZNF167	1.05
ZNF528	1.05
ZNF546	1.05
ZNF829	1.05
C14orf45	1.04
C17orf65	1.04
GPNMB	1.04
HIST1H2BO	1.04
INO80D	1.04
LOC282997	1.04
MORN4	1.04
NUFIP1	1.04
TMEM191C	1.04
TMEM217	1.04
UPB1	1.04
WDR5B	1.04
ZNF320	1.04
ZNF680	1.04
ALG10B	1.03
ANKS6	1.03
C9orf72	1.03
DEFB109P1B	1.03
FERMT2	1.03
GPR35	1.03
HIST1H2AI	1.03
PSTK	1.03
C9orf46	1.02
CPEB2	1.02
DNASE1	1.02
G2E3	1.02
GAS6	1.02
OR2A42	1.02
PMF1-BGLAP	1.02
ProSAPiP1	1.02
PUS10	1.02
SLC16A7	1.02
SYCE2	1.02
TK2	1.02
TRIB2	1.02
TTC30B	1.02
TXNDC3	1.02
ZNF438	1.02
APOBR	1.01
ASB14	1.01
C16orf86	1.01
CASZ1	1.01
EMB	1.01
ERP27	1.01
GGCX	1.01
MCAM	1.01
OAF	1.01
PACRGL	1.01
POTEM	1.01
RPL13AP3	1.01
RPP25	1.01
SSX2IP	1.01
TMED6	1.01
TMEM116	1.01
UBQLNL	1.01
VWA1	1.01
ZNF124	1.01
ZNF660	1.01
ZNF701	1.01
ARSK	1
CRIPAK	1
CROT	1
FAM13A	1
FAM35B	1
FLJ14186	1
LOC100129138	1
LOC400236	1
NAPEPLD	1
NUDT9P1	1
OCLN	1
UBE2W	1
UBN2	1
ZNF354A	1
ANTXR2	0.99
ARSB	0.99
FAM8A1	0.99
FARP1	0.99
KCTD6	0.99
KDELR3	0.99
MYCL1	0.99
PELI3	0.99
POU5F1P3	0.99
PXMP4	0.99
RGPD8	0.99
SCAMP1	0.99
SLC37A2	0.99
ZNF215	0.99
COL1A1	0.98
FAM109B	0.98
ICK	0.98
ITGA5	0.98
MTRNR2L4	0.98
PBLD	0.98
PHOSPHO2-KLHL23	0.98
PLA2G4A	0.98
PVRL4	0.98
TFR2	0.98
TLE1	0.98
TMEM33	0.98
UBXN2B	0.98
ZC3H10	0.98
ZP3	0.98
ABHD14A	0.97
AGPAT4	0.97
BACE1-AS	0.97
CHRNA6	0.97
DSTYK	0.97
GK5	0.97
GLTSCR1	0.97
LOC100132111	0.97
LOC100506083	0.97
LSM11	0.97
RNF5	0.97
ZFP37	0.97
C4orf47	0.96
EFHC1	0.96
FAM76A	0.96
LOC646278	0.96
MYO3B	0.96
PODXL2	0.96
POTEKP	0.96
SESTD1	0.96
SLC26A2	0.96
TGM1	0.96
YPEL1	0.96
ABHD5	0.95
AMN1	0.95
C8orf80	0.95
CLC	0.95
CMTM1	0.95
DCBLD1	0.95
DDN	0.95
IPMK	0.95
LOC100133050	0.95
LOC100506714	0.95
LOC348761	0.95
LOC645249	0.95
MASP2	0.95
TMEM132A	0.95
ZDHHC2	0.95
ZNF570	0.95
DPY19L4	0.94
GUSBP5	0.94
HIST1H1D	0.94
LOC100287015	0.94
LOC100507266	0.94
NRXN3	0.94
SENP3-EIF4A1	0.94
TBC1D12	0.94
TMEM135	0.94
VANGL1	0.94
WFDC2	0.94
XCL2	0.94
ZNF354B	0.94
ZNF763	0.94
C2orf88	0.93
COL19A1	0.93
HIST2H2BF	0.93
KIAA1324L	0.93
KIAA1383	0.93
LOC100190986	0.93
LRRC16A	0.93
MMS22L	0.93
NPPA	0.93
RAB15	0.93
RPGRIP1L	0.93
SLC46A1	0.93
WDR52	0.93
ZNF557	0.93
ZNF93	0.93
BASP1P1	0.92
C2orf18	0.92
CMPK2	0.92
CTSK	0.92
GPR19	0.92
HOMER2	0.92
IRAK1BP1	0.92
LIN9	0.92
LOC439994	0.92
LRFN1	0.92
PLEKHA7	0.92
PPP3CA	0.92
REEP6	0.92
RNASEK-C17ORF49	0.92
SNTB2	0.92
UBE2D1	0.92
ZNF254	0.92
ZNF823	0.92
CISD2	0.91
DPY19L1	0.91
ETV4	0.91
EXOC6	0.91
GYPE	0.91
L3MBTL4	0.91
NEIL1	0.91
NR4A3	0.91
PRR18	0.91
RPS6KA2	0.91
STEAP3	0.91
ANKRD36BP1	0.9
ATG10	0.9
BEND5	0.9
C10orf95	0.9
C2orf48	0.9
CD244	0.9
COL4A4	0.9
CRIP3	0.9
EEF1A2	0.9
FAM86FP	0.9
GDPD3	0.9
KIF27	0.9
KRT7	0.9
MGC12982	0.9
NT5DC3	0.9
PYGL	0.9
SLFN12L	0.9
TTC18	0.9
ZNF19	0.9
BACE1	0.89
C12orf74	0.89
CRADD	0.89
FLJ41484	0.89
HIST1H2BE	0.89
KRTCAP3	0.89
LHFP	0.89
MMP24	0.89
NKAPL	0.89
OAZ3	0.89
PCDHGB5	0.89
POPDC2	0.89
SLC25A16	0.89
TTC21A	0.89
TTC22	0.89
UBTD1	0.89
ZNF2	0.89
ZNF490	0.89
ANKRD13B	0.88
ANKRD42	0.88
ASCL1	0.88
C12orf77	0.88
C16orf55	0.88
C6orf162	0.88
CCNE2	0.88
CTU1	0.88
EFNA5	0.88
FKBP9	0.88
FNDC8	0.88
GTF2H2B	0.88
IQCD	0.88
KIF3C	0.88
LNP1	0.88
LOC100130298	0.88
LOC283104	0.88
MERTK	0.88
MMP7	0.88
STMN3	0.88
THAP2	0.88
TRIM7	0.88
ABL2	0.87
ADAP2	0.87
C11orf41	0.87
DPY19L1P1	0.87
DUSP18	0.87
FAM108C1	0.87
FN3K	0.87
HAPLN3	0.87
KIF5A	0.87
LOC100288198	0.87
LOC100527964	0.87
LOC148189	0.87
PAN3-AS1	0.87
RSAD2	0.87
SERPINI1	0.87
SGTB	0.87
SHROOM1	0.87
TBX19	0.87
TMEM106B	0.87
ZNF585A	0.87
ZNF846	0.87
C6orf163	0.86
CNR1	0.86
DCUN1D3	0.86
FAM113B	0.86
FLVCR2	0.86
HIST2H2BE	0.86
LOC100335030	0.86
LOC441454	0.86
LOC728407	0.86
NIM1	0.86
RASGRP4	0.86
SLC38A9	0.86
TSSK4	0.86
ZKSCAN3	0.86
ZNF74	0.86
ADM2	0.85
DEPDC4	0.85
ERRFI1	0.85
GHRL	0.85
KIAA1984	0.85
KIF9	0.85
LOC100216545	0.85
LOC440297	0.85
NR4A2	0.85
RBM43	0.85
SLC26A11	0.85
VCAM1	0.85
ZNF100	0.85
ZNF547	0.85
BHLHE22	0.84
C7orf61	0.84
CRAT	0.84
DARC	0.84
NLRP7	0.84
PHC1	0.84
PPT2-EGFL8	0.84
PRKCI	0.84
RHBDL1	0.84
SLC45A3	0.84
STXBP5	0.84
SUGT1P3	0.84
ZNF696	0.84
AKAP5	0.83
C8orf37	0.83
CCNI2	0.83
CORO6	0.83
CTRL	0.83
GPRC5C	0.83
KIAA1919	0.83
KRT17	0.83
LOC399753	0.83
MCOLN3	0.83
MYO7B	0.83
NANOS1	0.83
PDGFB	0.83
PMFBP1	0.83
RFK	0.83
RNF138P1	0.83
SCNN1D	0.83
SYT17	0.83
TACSTD2	0.83
TMCC2	0.83
ULK2	0.83
UNC5CL	0.83
ZBTB41	0.83
ZNF596	0.83
ZNF606	0.83
ZNF670-ZNF695	0.83
C14orf28	0.82
DEPDC7	0.82
DLL1	0.82
EDN1	0.82
FHL2	0.82
FLJ31813	0.82
FOS	0.82
GOLGA6L9	0.82
GPD1L	0.82
ITPKA	0.82
KHK	0.82
LOC100499467	0.82
LOC100505549	0.82
LOC389247	0.82
LOC643401	0.82
LOC643733	0.82
PDCD1LG2	0.82
PLCH2	0.82
RAB4B-EGLN2	0.82
RDH5	0.82
RFX2	0.82
SFXN5	0.82
ST7L	0.82
YES1	0.82
ZNF169	0.82
ZNF321P	0.82
ZNF684	0.82
C6orf52	0.81
EPB41L5	0.81
FONG	0.81
INPP5A	0.81
LOC100133669	0.81
LOC257396	0.81
LOC642852	0.81
LOC645166	0.81
LOC645676	0.81
MAP4K4	0.81
MMAA	0.81
NEK3	0.81
REEP2	0.81
RSPH1	0.81
RUFY4	0.81
SLC23A1	0.81
TTC30A	0.81
USP45	0.81
VAMP4	0.81
WWC1	0.81
ZHX1-C8ORF76	0.81
ZNF625-ZNF20	0.81
ZNRD1-AS1	0.81
AASS	0.8
ADAMTS13	0.8
ADAMTS6	0.8
ANK2	0.8
ANKMY2	0.8
C12orf60	0.8
CCNJ	0.8
DTWD1	0.8
EHD3	0.8
ENPP2	0.8
FAM86HP	0.8
FLJ32224	0.8
FLJ35024	0.8
GBP3	0.8
GLIPR2	0.8
HFE	0.8
HIST1H3C	0.8
KCNMA1	0.8
KISS1R	0.8
LINGO3	0.8
LOC100130557	0.8
LOC100134868	0.8
LOC100192204	0.8
LOC100507062	0.8
SLC16A6	0.8
SPDYE6	0.8
ARHGAP24	0.79
ASAH2B	0.79
CCDC85C	0.79
FAM69B	0.79
GPR63	0.79
IQCE	0.79
KCNA3	0.79
LOC100507547	0.79
LOC728012	0.79
MEX3D	0.79
MFGE8	0.79
OSBP2	0.79
PABPC1P2	0.79
PAIP2B	0.79
PLEKHG7	0.79
PLEKHM3	0.79
PRF1	0.79
RNASE4	0.79
SENP8	0.79
TOX	0.79
TULP4	0.79
ALOX12	0.78
BEST4	0.78
C18orf54	0.78
CCDC122	0.78
CLNK	0.78
GADD45G	0.78
GPC5	0.78
INHBE	0.78
LOC441461	0.78
LOC729603	0.78
LPHN1	0.78
MBLAC1	0.78
PKHD1L1	0.78
PTPRE	0.78
RPP40	0.78
SALL2	0.78
SH3RF3	0.78
SLC22A23	0.78
SMARCD3	0.78
TIGIT	0.78
TNFRSF10C	0.78
TUFT1	0.78
USP53	0.78
ZNF132	0.78
C20orf132	0.77
DNAJC28	0.77
DOPEY2	0.77
HOXB2	0.77
KCTD12	0.77
KLHDC7B	0.77
LOC728431	0.77
MMP23A	0.77
MYH3	0.77
SEPN1	0.77
SLC31A2	0.77
SWT1	0.77
TMEM180	0.77
TNS3	0.77
ZFP57	0.77
ZNF788	0.77
C8orf31	0.76
CCL25	0.76
GK3P	0.76
GRAMD3	0.76
HCFC2	0.76
HMHB1	0.76
LILRA4	0.76
LOC375190	0.76
MTMR9LP	0.76
MYOM1	0.76
NEFH	0.76
PKI55	0.76
SH3BGR	0.76
ZNF575	0.76
C1orf189	0.75
CATSPER2P1	0.75
FLJ41278	0.75
FRMD6	0.75
HIST1H3I	0.75
LOC100129196	0.75
LOC645431	0.75
NBPF3	0.75
PCDHGA12	0.75
POU6F1	0.75
RARRES2	0.75
RASGRF1	0.75
SLC6A13	0.75
ZBTB47	0.75
AVPI1	0.74
B9D1	0.74
BTBD9	0.74
C11orf95	0.74
C4orf32	0.74
CDC42EP2	0.74
FAM161B	0.74
FLJ12334	0.74
FRK	0.74
HCN3	0.74
LOC151534	0.74
LPPR2	0.74
LRP1	0.74
MGAT4A	0.74
NIPAL1	0.74
NIPSNAP3B	0.74
PDGFRB	0.74
SHB	0.74
SRRM5	0.74
ZNF205	0.74
ZNF70	0.74
ARL4D	0.73
BANK1	0.73
C15orf62	0.73
C3orf52	0.73
ETV2	0.73
FMO4	0.73
GP1BA	0.73
IBA57	0.73
