gene	chrom	start	end	status
Wrn	chr8	34344844	34495999	BAE
Xpnpep3	chr15	81230617	81285318	rMAE
Xpo5	chr17	46339803	46379248	rMAE
Xpot	chr10	121024435	121063372	rMAE
Xpr1	chr1	157122786	157264574	BAE
Yeats2	chr16	20141135	20232646	BAE
Ythdc2	chr18	44988318	45049374	BAE
Ywhab	chr2	163820932	163844323	BAE
Ywhae	chr11	75546388	75579343	BAE
Ywhag	chr5	136384248	136410511	BAE
Ywhaz	chr15	36700015	36726684	BAE
Zbtb10	chr3	9250566	9285332	rMAE
Zbtb7a	chr10	80599015	80614402	rMAE
Zc3h13	chr14	75684179	75744233	BAE
Zc3h4	chr7	16986544	17023045	BAE
Zc3h7a	chr16	11136686	11176486	BAE
Zcchc2	chr1	107886982	107930654	BAE
Zcchc6	chr13	59873239	59924508	BAE
Zdhhc14	chr17	5492599	5753891	BAE
Zdhhc17	chr10	110378835	110447122	BAE
Zdhhc5	chr2	84528076	84555321	BAE
Zeb2	chr2	44839031	44968799	BAE
Zfc3h1	chr10	114822014	114869827	BAE
Zfhx2	chr14	55680495	55710885	BAE
Zfp146	chr7	30946286	30954746	BAE
Zfp277	chr12	41041632	41172377	BAE
Zfp282	chr6	47827553	47858483	rMAE
Zfp292	chr4	34750358	34830197	BAE
Zfp326	chr5	106305586	106344837	BAE
Zfp35	chr18	24148134	24163872	BAE
Zfp367	chr13	64234364	64254507	BAE
Zfp39	chr11	58701654	58717727	BAE
Zfp398	chr6	47785659	47818256	BAE
Zfp407	chr18	84377093	84758896	BAE
Zfp445	chr9	122758027	122775124	BAE
Zfp518a	chr19	40969194	40992437	rMAE
Zfp592	chr7	88138569	88190048	BAE
Zfp608	chr18	55047698	55149834	BAE
Zfp609	chr9	65539389	65675371	BAE
Zfp646	chr7	135021214	135029510	BAE
Zfp655	chr5	145992627	146008175	BAE
Zfp664	chr5	125343074	125369000	BAE
Zfp69	chr4	120602741	120624306	rMAE
Zfp710	chr7	87169699	87237637	BAE
Zfp775	chr6	48563178	48573226	rMAE
Zfp790	chr7	30601090	30617061	BAE
Zfp81	chr17	33470672	33495823	BAE
Zfp871	chr17	32902441	32925232	BAE
Zfyve16	chr13	93257703	93300765	BAE
Zfyve26	chr12	80333333	80397269	BAE
Zhx2	chr15	57526221	57671387	BAE
Zkscan1	chr5	138526311	138549050	rMAE
Zmym2	chr14	57506631	57581416	BAE
Zmynd11	chr13	9684081	9764560	BAE
Zmynd8	chr2	165609651	165710251	rMAE
Znrf1	chr8	114060539	114149930	BAE
Zranb3	chr1	129850755	129999624	BAE
Zwint	chr10	72117593	72137712	BAE
Zzef1	chr11	72609727	72740622	BAE
Zzz3	chr3	152058966	152125790	BAE
